Time Recorded,Total Apps,Store Entry Used,,,,,,,,,,,,
2/22/2018 11:25,1613,http://store.steampowered.com/search/?tags=21978&vrsupport=401,,,,,,,,,,,,
,,,,,,,,,,,,,,
Steam App ID,Game Name,Price,Release Date,Positive Review Percentage,Reviews Count,Developer,Publisher,Genre,Category,Tags,Peak User Yesterday,Number of Owners,Number of Players,Percentage of Actual Players in the Owners
517130,Soundboxing,7.99,29-Sep-16,91%,411,Maxint LLC,Maxint LLC,Indie,Single-player,"Indie (31), VR (16), Rhythm (12), Music (11)",21,16579 +/- 3961,14599 +/- 3717,88.06%
605450,In Death,19.99,1-Feb-18,96%,124,Sólfar Studios,Sólfar Studios,"Violent, Action, Indie, Early Access",Single-player,"Early Access (25), Indie (22), Violent (22), Action (22), VR (7), VR Only (1)",15,2474 +/- 1530,1485 +/- 1185,60.02%
494150,The Thrill of the Fight - VR Boxing,9.99,1-Jul-16,93%,528,Ian Fitz,Ian Fitz,"Action, Sports, Early Access",Single-player,"Early Access (30), Sports (27), Action (26), VR (14)",11,28456 +/- 5190,25982 +/- 4959,91.31%
408520,FORM,14.99,1-Jun-17,92%,375,Charm Games,Charm Games,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards","Adventure (24), Casual (22), Indie (22), VR (12), Puzzle (6), VR Only (1)",4,6681 +/- 2514,4949 +/- 2164,74.08%
664090,Eternity Warriors™ VR,11.99,17-Sep-17,89%,157,Vanimals,Vanimals,"Violent, Gore, Action, Adventure, Indie","Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards","VR (119), Zombies (103), Post-apocalyptic (89), Violent (60), Action (60), Gore (48), Indie (37), Adventure (36), Multiplayer (30), Singleplayer (30), Online Co-Op (29), Shooter (28), PvE (28), Survival (27), Survival Horror (16), VR Only (1)",5,11383 +/- 3282,7671 +/- 2694,67.39%
636970,Tales Of Glory,29.99,31-May-17,90%,85,BlackTale Games,BlackTale Games,"Violent, Gore, Action, Simulation, Early Access",Single-player,"Early Access (26), Violent (23), Gore (23), Action (23), Simulation (21), VR (9)",5,2722 +/- 1605,2722 +/- 1605,100.00%
427760,A Chair in a Room : Greenwater,24.99,30-Mar-16,89%,477,Wolf & Wood Interactive Ltd,Wolf & Wood Interactive Ltd,"Adventure, Indie, Simulation","Single-player, VR Support","Adventure (25), Indie (24), Simulation (23), Horror (15), VR (15)",1,25487 +/- 4912,22270 +/- 4591,87.38%
476700,Island 359™,19.99,23-Aug-16,81%,275,"CloudGate Studio, Inc.","CloudGate Studio, Inc.","Action, Adventure, Indie, Early Access","Single-player, SteamVR Collectibles","Early Access (31), Adventure (28), Action (28), Dinosaurs (26), Indie (25), VR (21)",8,13610 +/- 3589,12867 +/- 3490,94.54%
459010,Ghost Town Mine Ride & Shootin' Gallery,8.99,28-Oct-16,88%,301,Spectral Illusions,Spectral Illusions,"Action, Indie",Single-player,"Indie (23), Action (22), VR (15), Horror (14), Atmospheric (13), Shoot 'Em Up (12), Western (12), First-Person (12), Singleplayer (12)",1,11135 +/- 3246,9403 +/- 2983,84.45%
566530,Mass Exodus,14.99,4-May-17,84%,119,Polymerse,Polymerse,"Action, Casual, Indie","Multi-player, Local Multi-Player, Local Co-op, Shared/Split Screen, Steam Trading Cards, Partial Controller Support","Indie (21), Action (21), Casual (21), VR (8)",3,11630 +/- 3318,10393 +/- 3136,89.36%
451840,Out of Ammo,14.99,14-Sep-16,86%,541,RocketWerkz,RocketWerkz,"Action, Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Leaderboards","Action (36), Strategy (33), VR (31), Indie (29), FPS (13), Singleplayer (10), Multiplayer (10), Survival (8), Shooter (5)",2,27961 +/- 5144,26229 +/- 4983,93.81%
589200,Dreadhalls,9.99,9-Mar-17,95%,89,White Door Games,White Door Games,"Adventure, Indie",Single-player,"Adventure (22), Indie (21), Horror (7), VR (7), VR Only (1)",2,6681 +/- 2514,5691 +/- 2321,85.18%
639130,Ultrawings,24.99,20-Jul-17,93%,145,"Bit Planet Games, LLC","Bit Planet Games, LLC","Adventure, Simulation","Single-player, Full controller support","Simulation (25), Adventure (23), VR (13), Open World (11), Flight (8), VR Only (1)",2,7918 +/- 2737,7176 +/- 2606,90.63%
685690,Guns'n'Stories: Bulletproof VR,8.49,25-Aug-17,96%,192,MIROWIN,MIROWIN,"Action, Adventure, Casual, Simulation, Early Access",Single-player,"Early Access (36), Casual (32), Action (24), Western (23), Adventure (22), Simulation (21), VR (18), FPS (13), Twin Stick Shooter (12)",1,3464 +/- 1811,2227 +/- 1452,64.29%
489380,QuiVr,19.99,19-Dec-16,93%,358,Blueteak,"Alvios, Inc.","Action, Casual, Indie, Simulation, Early Access","Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, SteamVR Collectibles","Early Access (29), Action (26), Simulation (24), Indie (21), Casual (21), VR (20), VR Only (1)",10,28456 +/- 5190,26477 +/- 5006,93.05%
510930,Thirst VR,2.99,10-Aug-16,87%,72,RLTY CHK,RLTY CHK,"Action, Indie, Early Access","Single-player, VR Support, Steam Leaderboards","Early Access (35), Action (31), Indie (31), VR (18), On-Rails Shooter (10), FPS (9)",3,8908 +/- 2904,5444 +/- 2270,61.11%
477270,Lightblade VR,3.99,31-May-16,84%,459,Andreas Hager Gaming,Andreas Hager Gaming,"Action, Indie, Simulation",Single-player,"Action (24), Simulation (22), Indie (21), VR (14), Star Wars (5)",4,46767 +/- 6653,45530 +/- 6565,97.35%
503770,Elven Assassin,9.99,10-Sep-16,90%,195,Wenkly Studio Sp. z o.o.,Wenkly Studio Sp. z o.o.,"Action, Adventure, Indie, Simulation, Early Access","Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, Steam Achievements, Stats, Steam Leaderboards","Early Access (25), Action (22), Indie (21), Simulation (21), Adventure (21), VR (20)",52,13115 +/- 3523,12372 +/- 3422,94.33%
446620,Zombie Training Simulator,19.99,15-Apr-16,94%,193,"Acceleroto, Inc.","Acceleroto, Inc.",Action,"Single-player, Steam Leaderboards","Action (25), VR (10), Zombies (8)",10,65573 +/- 7878,51964 +/- 7013,79.25%
471660,Kingspray Graffiti VR,14.99,6-Dec-16,86%,145,"Andrew Bates, Craig Bentick, Nolan Cunningham, Onomis",Infectious Ape,Simulation,"Single-player, Online Multi-Player, Co-op, Cross-Platform Multiplayer","Simulation (30), Multiplayer (11), VR (8)",14,5196 +/- 2218,4701 +/- 2109,90.47%
509250,TO THE TOP,24.99,18-May-17,91%,297,Electric Hat Games LLC.,Electric Hat Games LLC.,"Action, Indie, Racing","Single-player, Online Multi-Player, Online Co-op, Steam Achievements, Steam Trading Cards, SteamVR Collectibles, Steam Cloud, Stats, Steam Leaderboards","Action (22), Indie (22), Racing (21), VR (14), Parkour (6), VR Only (1)",11,12372 +/- 3422,10145 +/- 3099,82.00%
530350,Smashbox Arena,19.99,7-Dec-16,96%,291,"BigBox VR, Inc.","BigBox VR, Inc.","Action, Indie","Single-player, Online Multi-Player, SteamVR Collectibles, Steam Cloud","VR (30), Shooter (25), Funny (25), Multiplayer (25), Action (24), Arena Shooter (23), Replay Value (12), FPS (12), Singleplayer (12)",7,14352 +/- 3686,12372 +/- 3422,86.20%
269170,Sports Bar VR,19.99,1-Jun-16,93%,589,"Cherry Pop Games, Perilous Orbit",Perilous Orbit,"Casual, Indie, Simulation, Sports, Strategy","Single-player, Multi-player, Online Multi-Player, Online Co-op, Steam Cloud","VR (34), Sports (31), Simulation (28), Casual (25), Indie (24), Local Multiplayer (21), Pool (21), Strategy (20), Physics (17), Multiplayer (5)",6,53696 +/- 7129,48004 +/- 6741,89.40%
518720,Overkill VR: Action Shooter FPS,19.99,10-Mar-17,82%,174,Starloop Studios,Game Troopers,"Violent, Action, Simulation","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats","Action (28), Simulation (23), Violent (22), VR (18), FPS (6), VR Only (1)",10,10640 +/- 3173,8661 +/- 2863,81.40%
270130,The Gallery - Episode 1: Call of the Starseed,19.99,5-Apr-16,85%,788,Cloudhead Games ltd.,Cloudhead Games ltd.,"Adventure, Casual, Indie","Single-player, Steam Achievements, VR Support, SteamVR Collectibles","Adventure (68), Indie (60), VR (57), First-Person (42), Great Soundtrack (37), 1980s (36), Kickstarter (35), Episodic (34), Story Rich (28), Atmospheric (27), Casual (22), Puzzle (15), Singleplayer (7), VR Only (1)",5,99721 +/- 9715,70027 +/- 8141,70.22%
